509,325,308,327,307,299,321,303,13085,316,287,295,295,291,297,306,297,6035,311,304,274,283,292,308,293,291,6129,327,288,316,244,233,223,245,225,6306,267,236,229,232,221,229,229,228,6597,246,238,238,220,232,215,225,226,6587,262,230,223,229,217,227,236,237,6591,275,227,236,250,238,247,233,223,6519,255,231,226,236,230,227,232,233,6593,248,226,220,233,242,227,238,219,6596,265,232,226,242,232,232,240,234,5800,240,217,233,223,206,200
426
1804,1688,1626,1542,1629,1525,1554,1628,1559,1497,1529,1505,1504,1485,1485,1469,1426,1439,1448,1408,1389,1445,1397,1404,1485,1360,1357,1406,1368,1341,1137,1122,1145,1119,1155,1173,1104,1130,1118,1128,1177,1084,1115,1124,1095,1141,1126,1096,1134,1154,1120,1134,1127,1110,1124,1100,1112,1122,1125,1147,1091,1221,1254,1154,1112,1115,1082,1125,1069,1114,1124,1092,1047,1123,1106,1127,1124,1109,1125,1103,1093,1139,1083,1101,1190,1094,1110,1074,1116,1123,1099,1116,1124,1068,1088,1113,1066,1101,1057,1067,1167,1120,1107,1094,1107
784,801,702,660,727,681,663,732,677,670,662,692,671,665,648,708,654,643,682,653,649,678,658,668,645,720,710,636,647,639,650,693,710,631,636,618,680,642,635,632,628,636,628,663,608,652,598,617,694,666,626,684,626,641,637,612,622,612,619,635,658,693,738,603,617,614,651,616,606,611,628,611,634,619,603,605,641,605,616,635,591,627,620,608,660,592,598,585,602,619,580,630,612,584,603,576,591,598,584,587,573,600,634,582,549




