771,572,569,584,536,531,562,518,547,549,508,531,518,543,514,521,515,579,512,506,522,534,521,529,502,510,527,524,505,515,448,455,465,484,467,432,476,456,447,459,454,481,458,474,454,443,476,513,466,449,459,465,462,475,458,530,519,465,447,456,458,473,480,493,459,454,479,461,476,506,462,483,466,491,466,462,482,480,467,457,499,482,468,485,468,449,473,455,506,454,501,464,464,464,501,465,469,457,487,506
789997
8880,9450,8613,6202,7668,8315,6342,8853,7588,8459,6559,7233,7189,8625,8117,8750,7941,7808,6814,7034,7833,7528,8671,8348,7737,8455,7956,6655,8418,7678,7447,6786,7439,8679,8006,7120,8070,7525,8208,7315,6145,7564,5749,5919,8434,6176,8331,7334,6274,7093,6845,7610,7102,7082,6493,5741,6188,8202,7297,5954,7567,7476,6455,8426,7023,8631,5866,7635,5985,5680,8161,7810,8087,5816,7056,5965,8191,6422,6097,6223,6181,6961,7481,8072,6790,6811,6529,7531,5661,6605,5778,5978,8182,6110,6678,7714,8690,8495,8846,7756
17005,16638,16459,16477,16347,16321,16543,16309,16425,16370,16518,16011,15986,16056,15972,15984,16096,15805,16082,15901,16105,15592,15630,15640,15556,15530,15627,15450,15584,15438,15759,15251,15170,15140,15257,15200,16688,15166,15243,15219,15379,14984,14760,14846,14762,14792,14924,14709,14833,14770,14911,14482,14461,14474,14389,14355,14479,14289,14361,14441,14553,14208,14078,14121,14072,13999,14032,13830,14051,13974,14225,13703,13607,13651,13610,13656,13746,13545,13581,13609,13998,13277,13193,13206,13185,13197,13326,13092,13217,13158,13234,12907,12809,12775,12722,12672,12746,12578,12696,12539
165883,173875,190503,176477,190299,185633,191466,193130,186188,182593,189283,188819,171035,182931,181033,194649,194593,183966,168762,196042,196004,167978,194455,190763,166990,196539,185253,196630,195340,190895,179466,190480,195079,180087,196380,185647,197222,191271,197121,192993,197215,197245,185589,192186,185138,192833,193567,199141,199089,193320,192417,199645,197945,198769,198027,199689,194529,200042,194676,199907,193985,162063,198282,201918,199576,195422,201435,201066,179679,201153,200587,195342,200118,196719,200291,201626,197117,201686,186082,196853,201953,203299,201230,196161,195788,203482,192801,202221,181468,196952,203511,203435,192032,186911,180925,188234,183121,203617,188688,203937
1857,1719,1702,1848,1709,1740,1695,1738,1563,1563,1541,1606,1588,1506,1630,1152,1127,1119,1200,1109,1105,1130,1170,1103,1103,1111,1185,1100,1083,1155,1103,1125,1101,1173,1132,1111,1132,1178,1095,1095,1102,1173,1111,1097,1138,1119,1099,1118,1166,1114,1099,1108,1199,1107,1107,1192,1172,1163,1085,1148,1131,1168,1173,1165,1112,1131,1081,1199,1118,1089,1109,1170,1111,1083,1144,1147,1103,1119,1252,1104,1139,1086,1196,1171,1098,1111,1161,1117,1093,1117,1110,1116,1101,1178,1096,1104,1076,1175,1106,1084
1823,1711,1749,1728,1819,1737,1676,1699,1696,1706,1735,1719,1686,1672,1693,1690,1701,1646,1701,1742,1741,1708,1653,1718,1664,1716,1722,1621,1671,1676,1763,1719,1734,1690,1707,1709,1697,1627,1720,1652,1709,1671,1676,1672,1694,1674,1622,1610,1646,1642,1645,1647,1654,1709,1609,1645,1627,1575,1660,1588,1646,1665,1634,1689,1580,1669,1611,1582,1707,1640,1649,1622,1622,1622,1645,1616,1659,1543,1645,1609,1625,1618,1598,1691,1609,1646,1553,1556,1586,1585,1616,1587,1621,1636,1590,1578,1524,1573,1644,1552
11325,10608,10692,10251,11311,11144,11160,10728,11344,10699,12040,10674,10692,10470,11446,11350,11441,10669,11084,10732,11308,10723,10721,10269,11486,11387,11370,10713,10909,10650,11343,10719,10937,10303,11453,11281,11031,10810,11467,10758,10931,10645,10705,10280,11548,10730,11418,10781,11730,10722,11512,10719,10780,10294,10934,11309,11436,10667,11512,10695,11463,10694,10685,10292,11466,11108,10928,10699,11575,10688,11248,10731,10720,10292,11460,10927,11033,10750,11471,10691,11407,10719,10767,10298,11440,11143,11162,10701,11530,10915,11554,10841,10709,10326,11563,11248,10981,10739,11442,10730
