465,293,275,266,280,269,296,267,265,275,264,257,17146,334,267,256,270,271,283,252,258,250,255,271,264,5138,297,252,261,280,216,196,198,193,204,191,198,191,5857,227,200,195,202,190,197,191,198,196,202,192,205,6086,222,213,217,210,206,199,201,201,199,194,198,8773,332,194,198,191,209,200,200,197,198,190,199,204,11401,235,240,206,204,203,203,198,233,205,201,195,15926,229,206,198,196,198,199,194,204,195,207,202,197,178,176,170,192
580
2113,2021,1892,1794,1748,1662,1665,1642,1539,1577,1596,1545,1553,1452,1414,1264,1229,1262,1276,1273,1261,1271,1252,1269,1266,1256,1272,1226,1245,1271,1271,1226,1273,1222,1264,1275,1241,1253,1262,1242,1257,1277,1210,1254,1208,1310,1227,1239,1220,1238,1220,1272,1246,1219,1283,1267,1231,1202,1239,1222,1219,1203,1227,1246,1232,1221,1225,1218,1208,1245,1227,1250,1236,1225,1197,1247,1201,1252,1226,1211,1186,1231,1215,1216,1266,1212,1203,1193,1266,1199,1208,1196,1213,1183,1193,1183,1237,1248,1234,1204,1223,1282,1206,1208,1189
2791,1301,1286,665,637,664,571,2125,579,577,1283,602,631,1268,1244,625,1251,592,1267,623,634,591,576,1251,572,625,581,1283,601,1919,1273,1080,1275,591,1864,3197,576,584,1282,570,1261,1299,624,1870,588,3870,1888,582,583,1273,656,1863,575,603,1235,644,1253,598,24723,580,591,589,595,1317,602,1263,581,572,601,602,590,1868,2568,589,569,608,1867,580,605,588,563,610,2298,584,1908,566,560,1858,551,557,559,560,562,555,556,572,547,556,547,552,592,542,2062,517,507




