744,521,515,499,514,493,518,515,494,517,491,477,478,463,468,471,480,489,484,472,481,465,480,481,479,473,470,472,478,484,426,407,419,419,415,407,413,435,471,493,440,424,440,417,434,424,433,444,423,440,423,412,450,433,429,418,446,430,432,449,434,418,425,417,422,415,428,433,440,432,426,415,436,421,431,418,423,445,422,420,427,427,431,420,420,422,423,418,445,433,428,424,429,427,421,418,435,438,424,433
1081668
12368,10440,10675,11409,10082,9740,11289,9288,9711,9284,9105,10313,10036,9016,10058,9368,9581,10731,9725,10586,9915,10736,10615,10550,10491,11252,11201,9138,10949,9136,10305,10992,10914,10686,10946,11222,11184,11292,10357,11074,11389,11042,10249,9833,8697,9258,10283,9861,10915,10242,10250,9140,8897,11086,10454,9743,10920,10210,10688,9390,9286,10052,8821,10953,9914,10944,8929,9523,8966,9954,9791,10061,8798,11402,9457,11349,8868,9402,10645,10086,10268,9874,10051,10744,9048,11244,9288,10803,10102,8771,11362,10222,10514,10444,11101,9774,11029,11284,9807,9124
43293,43422,43019,42703,42669,42381,42302,42730,42681,42022,42130,42198,42148,41497,41756,41428,41388,41670,41465,41271,41325,41530,40951,40777,40783,40237,40411,40621,40709,40045,39857,40229,39871,39766,39799,39203,39494,39389,39485,39118,38814,39208,38872,38476,38652,38273,38145,38391,38532,37921,37580,38126,37745,38035,37559,37519,37598,37714,37581,37342,37050,37222,36832,36828,36324,36510,36507,36265,36011,36019,35802,35976,35704,35266,35353,35334,35115,35177,35512,35112,35070,35495,34950,34820,34400,34383,34168,34384,33986,33761,33511,34143,34120,33384,33363,33170,33401,33181,33322,32592
272037,269261,269080,270896,269831,269329,269410,269483,269977,269793,270009,270528,270190,270252,269960,270286,270000,270265,270887,270699,270762,270977,271079,270700,270754,270861,270973,270902,271495,271223,270898,271319,271429,271052,272548,271605,271196,271468,271793,271443,272031,272105,271692,271863,271874,271770,272026,272218,272433,272053,272407,272391,272549,272309,272463,272243,272423,272926,273285,272863,272935,273289,273194,273082,272982,273321,273801,273366,273972,273418,274235,274355,274563,273900,274432,274206,273998,274214,274970,274550,274652,275020,274968,274646,274945,274961,274457,274812,275582,275067,275297,275464,275623,275222,275326,275074,275992,277572,276673,276029
2061,1991,1984,1885,1825,1900,1871,1804,1695,1681,1743,1545,1568,1585,1522,1502,1477,1485,1472,1492,1504,1480,1485,1507,1468,1493,1498,1485,1410,1411,1255,1236,1263,1221,1216,1204,1240,1231,1251,1227,1249,1230,1231,1220,1240,1244,1205,1231,1185,1274,1238,1231,1233,1220,1247,1247,1253,1235,1218,1220,1207,1236,1213,1231,1215,1226,1247,1202,1233,1214,1221,1209,1225,1228,1216,1233,1225,1219,1222,1224,1227,1222,1210,1238,1209,1239,1214,1219,1225,1187,1229,1231,1219,1207,1199,1222,1233,1211,1221,1222
3793,3509,3475,2800,2816,2810,2805,2814,2842,2867,3501,2842,3512,3508,3508,2834,3488,2847,3515,2900,2809,2851,2838,3524,2832,2888,2827,3532,2851,4218,3508,2840,3527,2835,4118,5404,2857,2818,3521,2829,3515,3549,2831,3528,2809,6124,4136,2842,4125,3527,2859,4115,2830,2834,3478,2888,3494,2839,2823,2817,2828,2828,2833,3548,2831,3469,2816,4116,2825,2867,2797,4130,4832,2824,2790,2803,4114,2864,2906,2865,4105,2863,5472,2832,4162,2765,2782,4090,4093,2786,2774,2816,2790,2753,2771,2783,4020,2837,3464,2740
21111,20885,21147,20991,20811,20855,24827,20936,20696,21176,20833,20833,21167,20885,20876,20832,24647,20954,20923,21224,20892,21010,21150,20965,21051,20820,24732,20728,21017,21024,20716,20918,21211,20799,20921,20856,24659,20955,20824,21120,20841,20973,21122,20847,20786,20912,24818,20989,20930,21105,20720,20972,21240,21015,20957,20952,24861,33501,20925,21273,20892,20973,21118,20779,20956,20956,24628,20936,20936,21157,20959,20992,21243,20965,20950,21011,24923,22071,21173,21257,20729,20779,21152,21006,21183,20884,24766,20894,20852,21239,20894,21037,21217,20938,20957,21022,24798,20903,20886,21058
