uid, ndata, create_baseline, create_edna, decay, undecay, delete, restore, baseline
5901, 3, 96, 227, 8381, 19661, 9852, 21620, 5021
5951, 4, 99, 225, 8595, 20844, 10206, 23157, 5093
6001, 1, 103, 233, 6648, 16266, 7625, 16732, 3566
6051, 1, 97, 225, 6177, 16375, 7239, 17341, 3273
6101, 2, 99, 228, 6665, 16853, 7844, 18266, 3642
6151, 2, 96, 226, 6409, 14434, 7917, 15816, 3634
6201, 1, 102, 233, 5855, 14827, 6913, 15498, 3100
6251, 3, 100, 237, 7304, 17914, 8611, 19764, 4139
6301, 3, 97, 224, 7717, 18296, 9127, 20086, 4479
6351, 3, 96, 223, 8228, 19998, 9807, 21965, 4822
6401, 3, 96, 244, 7316, 23388, 10431, 20033, 4353
6451, 3, 103, 249, 8006, 18416, 9422, 20420, 4507
6501, 7, 103, 285, 10355, 23941, 12165, 28182, 7159
6551, 4, 103, 236, 8281, 18695, 9941, 21509, 4934
6601, 5, 97, 232, 9118, 21545, 11035, 24981, 5943
6651, 3, 98, 249, 7545, 22435, 10759, 20163, 4483
6701, 3, 105, 256, 7565, 17732, 9795, 19670, 4474
6751, 4, 128, 290, 8752, 38605, 11340, 22728, 5486
6801, 3, 107, 246, 7540, 16889, 9539, 19737, 4405
6851, 3, 97, 224, 7226, 16622, 9472, 18511, 4226
6901, 7, 96, 229, 9802, 23100, 12091, 25686, 6249
6951, 3, 100, 229, 7789, 22980, 10027, 22860, 5280
7001, 3, 109, 254, 7581, 16967, 9240, 20319, 4857
7051, 4, 106, 240, 8082, 18906, 9969, 20730, 5121
7101, 2, 104, 238, 6706, 17456, 7968, 18039, 4018
7151, 3, 97, 249, 7596, 18488, 9429, 20369, 4594
7201, 4, 101, 233, 7632, 16095, 9319, 18325, 4582
7251, 4, 103, 234, 7836, 17949, 9698, 20388, 4718
7301, 4, 101, 238, 7886, 18099, 9762, 20854, 4665
7351, 0, 103, 238, 4603, 12162, 5503, 12163, 2400
7401, 2, 106, 241, 7482, 19198, 8834, 20091, 4289
7451, 3, 101, 234, 7727, 18367, 9404, 20030, 4511
7501, 1, 103, 236, 5976, 15588, 7329, 16196, 3249
7551, 0, 102, 233, 5769, 16026, 6592, 16336, 2960
7601, 5, 103, 238, 8698, 20200, 10842, 23034, 5336
7651, 5, 97, 238, 8926, 20775, 10918, 23323, 5585
7701, 5, 102, 230, 8383, 18784, 10637, 21681, 5220
7751, 3, 103, 242, 7273, 15304, 9126, 17380, 8521
7801, 3, 151, 359, 9868, 17619, 9999, 20232, 4553
7851, 2, 112, 277, 7837, 18224, 9821, 19533, 4293
7901, 4, 105, 257, 9102, 36076, 11839, 24279, 5783
7951, 2, 105, 262, 7470, 19164, 9435, 20423, 4122
8001, 5, 109, 259, 10244, 21713, 12879, 24849, 6388
8051, 4, 107, 249, 9094, 20372, 11708, 23822, 5699
8101, 5, 114, 266, 9220, 22280, 11126, 25256, 5568
8151, 0, 101, 250, 4756, 13013, 5829, 12976, 2538
8201, 2, 107, 267, 7413, 17570, 9677, 19140, 4270
8251, 1, 111, 266, 6319, 16457, 7870, 17337, 3313
8301, 1, 109, 258, 6791, 16519, 8494, 17148, 3576
8351, 2, 110, 269, 6913, 16859, 9357, 18050, 3932
8401, 2, 107, 262, 7341, 18706, 9177, 20151, 4053
8451, 2, 103, 249, 7047, 16795, 9081, 18241, 4021
8501, 4, 107, 259, 7792, 15778, 9744, 18174, 4551
8551, 3, 102, 257, 7442, 18057, 9786, 21250, 6954
8601, 4, 595, 771, 8021, 16956, 9418, 19187, 4542
8651, 2, 97, 235, 6677, 17678, 8473, 17016, 3860
8701, 2, 102, 237, 6542, 15641, 7871, 16851, 3712
8751, 5, 104, 265, 9013, 19424, 10527, 22377, 6404
8801, 3, 105, 249, 7701, 18956, 9163, 22180, 4532
8851, 0, 103, 234, 4866, 13572, 5719, 13547, 2534
8901, 2, 105, 241, 6867, 16696, 8174, 16365, 4019
8951, 1, 99, 231, 5832, 14620, 7145, 15364, 3256
9001, 1, 103, 246, 5879, 15175, 7210, 15717, 3294
9051, 2, 103, 245, 6958, 16715, 8704, 18441, 4049
9101, 4, 112, 246, 8230, 20242, 10120, 22920, 4849
9151, 2, 98, 236, 6976, 17123, 8675, 36869, 4212
9201, 5, 102, 251, 9076, 20557, 10779, 23544, 5306
9251, 4, 114, 254, 7969, 18990, 9929, 21444, 4848
9301, 4, 101, 246, 8167, 18465, 10079, 21349, 5013
9351, 3, 103, 237, 7223, 17196, 9158, 19061, 4239
9401, 3, 96, 226, 7153, 17016, 9422, 19988, 4419
9451, 2, 107, 257, 6426, 14588, 7673, 15898, 3578
9501, 2, 102, 234, 6777, 16435, 8142, 17648, 3899
9551, 3, 100, 245, 6909, 15060, 8431, 17133, 4212
9601, 3, 102, 233, 7445, 18151, 9357, 20167, 4299
9651, 5, 97, 231, 8793, 20647, 10620, 23537, 5374
9701, 4, 101, 230, 7557, 16359, 9457, 18961, 4578
9751, 1, 102, 238, 6108, 16691, 7567, 17379, 3247
9801, 4, 105, 265, 7883, 17858, 9405, 20859, 4952
9851, 2, 104, 232, 6558, 16410, 7991, 17735, 3687
9901, 3, 110, 243, 7078, 16204, 9120, 18007, 4424
9951, 2, 101, 229, 6733, 15823, 8299, 17045, 3879
10001, 5, 102, 239, 8415, 18684, 10069, 21572, 5317
10051, 3, 101, 246, 7210, 16374, 9015, 18548, 4234
10101, 2, 106, 237, 6074, 14051, 7597, 15374, 3487
10151, 0, 97, 230, 5250, 13925, 6146, 13861, 2792
10201, 3, 100, 228, 7254, 17401, 9083, 19176, 4258
10251, 3, 112, 263, 7994, 19795, 9780, 21640, 4672
10301, 1, 104, 274, 5832, 14400, 7488, 15305, 3213
10351, 2, 103, 229, 6921, 16791, 8905, 20882, 4084
10401, 6, 97, 230, 9717, 23383, 12288, 41126, 6273
10451, 3, 105, 253, 7765, 20126, 9635, 19527, 4262
10501, 3, 102, 243, 7041, 16223, 8809, 18134, 4154
10551, 3, 102, 271, 8040, 18888, 10209, 21217, 5188
10601, 1, 113, 252, 5842, 14734, 7322, 17634, 3159
10651, 0, 102, 236, 5606, 15781, 6904, 15699, 2888
10701, 0, 100, 234, 5456, 16653, 6693, 14852, 2916
10751, 2, 102, 235, 6619, 15687, 8619, 16926, 3699
10801, 3, 102, 275, 7424, 18039, 9256, 20294, 4668
10851, 5, 103, 237, 8605, 18607, 10547, 24827, 5362
10901, 2, 97, 239, 7106, 18798, 8801, 19876, 3979
10951, 1, 101, 241, 5947, 17735, 7296, 16542, 3199
11001, 6, 102, 232, 9891, 22230, 11941, 25783, 6225
11051, 0, 102, 272, 5534, 15164, 6456, 15409, 2945
11101, 7, 103, 239, 9300, 19019, 11530, 26950, 6040
11151, 2, 96, 230, 6715, 16695, 8565, 17711, 3915
11201, 2, 101, 232, 7254, 20818, 9195, 19619, 4098
11251, 3, 102, 238, 7501, 17364, 9837, 19371, 4406
11301, 4, 100, 272, 7682, 17368, 9933, 20119, 5044
11351, 1, 103, 239, 5956, 15837, 7568, 18771, 3245
11401, 2, 98, 229, 6687, 16408, 9140, 17805, 3832
11451, 2, 103, 232, 6650, 17518, 8359, 16834, 3792
11501, 2, 101, 236, 6739, 16505, 9202, 18044, 3745
11551, 4, 100, 269, 7737, 18194, 10112, 20437, 5066
11601, 1, 103, 236, 6213, 17174, 7805, 20330, 3340
11651, 2, 98, 229, 6421, 15270, 9020, 16547, 3725
11701, 2, 101, 246, 6862, 19165, 8902, 18308, 3916
