658,428,400,395,408,399,418,415,404,400,418,407,402,378,390,375,372,395,403,400,398,391,372,381,377,367,398,412,407,401,390,367,382,370,366,386,401,406,396,396,367,382,370,367,396,401,411,402,404,369,387,371,375,405,396,397,404,390,368,394,379,383,388,394,409,394,398,366,383,361,378,371,383,391,372,381,368,379,372,363,377,379,383,365,385,357,369,366,366,371,377,369,372,372,409,371,384,360,378,403,368,378,390,358,375,379,356,370,384,380,373,395,376,391,383,369,383,403,402,400,407,368,391,371,364,382,383,409,396,391,365,403,379,365,376,385,392,395,401,370,405,365,364,377,399,400,407,393,382,390,368,364,386,395,402,400,395,377,403,367,367,381,391,398,393,402,378,395,375,371,382,398,411,397,406,376,397,366,363,393,391,395,410,408,374,388,369,365,379,378,377,390,392,408,391,360,362,376,396,382,408,394,364,402,383,363,374,372,388,379,380,360,376,360,357,378,379,393,385,377,359,387,358,359,390,376,384,388,383,362,376,358,354,370,381,380,372,378,358,384,365,353,365,378,387,388,381,362,382,356,361,378,408,403,387,398,363,395,362,358,375,398,385,479,400,357,397,362,355,369,393,406,367,401,363,394,364,365,372,405,390,376,394,360,394,362,357,396,405,377,386,397,407,396,367,357,383,409,376,376,401,366,394,364,357,389,397,388,453,400,359,393,364,367,376,390,391,380,412,364,394,357,372,387,400,385,368,374,361,369,357,372,390,381,372,367,384,361,378,363,368,397,380,378,376,388,357,379,372,365,392,383,376,370,371,360,371,369,355,399,385,377,377,384,359,367,367,359,379,376,377,371,395,358,379,370,356,382,387,372,375,380,361,388,383,366,376,387,375,373,372,402,371,377,359,379,395,378,375,384,356,378,373,356,406,382,369,379,383,367,386,369,350,386,388,367,366,383,359,377,362,352,386,378,374,375,396,359,393,354,356,384,391,367,368,382,363,388,362,354,393,379,371,371,381,363,393,357,418,381
11130320
24392,25833,29677,41601,32589,28821,23797,29631,22230,30339
211999,252380,1094377,408089,327775,291177,236459,277669,224572,309836
1940731,2443420,2703569,3869804,3204832,2841809,2235977,2700115,2083345,2996888
580,417,449,472,409,401,382,403,450,443,416,465,416,421,399,427,413,430,400,414,417,417,424,442,410,418,399,412,427,489,425,409,423,409,402,421,418,422,417,416,408,447,474,417,431,436,405,437
76557,94707,95940,137156,109656,97563,87977,101786,75017,104567,115993,116163,106384,107134,97614,105712,115863,98242,85660,122468,91487,114326,94148,77942,109791,96508,76756,119906,86174,75002,98613,87031,104438,97998,88688,92486,126526,88635,103350,75793,90193,111639,107367,112119,101417,104636,82650,87763
82996,108394,117015,153315,138527,122306,86488,120316,92090,111920,131195,146776,111165,119521,102855,111906,127612,106415,90489,133709,99261,121333,103907,83318,113952,104892,82182,127374,96898,86275,105277,94946,111847,103012,100662,99930,133579,97908,111998,81630,100888,132995,124933,122679,112230,112512,89844,96808
