688,393,357,380,373,349,389,370,344,330,337,330,350,347,342,354,342,357,348,339,347,356,343,338,352,337,348,320,338,335,348,339,336,347,338,345,346,345,337,350,347,341,355,337,341,338,334,334,341,348,340,357,341,348,339,337,344,340,336,368,359,335,345,338,336,337,337,338,344,355,332,344,338,338,342,337,337,345,356,341,345,337,333,344,345,336,332,347,350,354,341,339,338,341,331,342,352,341,351,342,333,332,339,335,332,345,325,354,345,334,333,371,342,332,344,329,342,344,331,346,352,329,330,341,322,339,335,339,338,342,332,331,344,324,337,336,335,363,350,338,335,343,335,339,337,338,340,341,343,333,349,330,342,333,328,334,340,342,340,346,329,338,337,331,343,334,346,344,351,328,340,336,335,331,335,337,342,344,332,347,342,329,335,336,320,318,334,313,320,317,309,309,318,310,311,320,311,330,321,324,309,312,308,310,325,305,317,322,310,310,317,312,318,320,304,340,316,317,318,316,310,335,328,309,345,311,310,331,339,313,311,322,305,341,347,336,336,338,350,350,359,332,347,337,339,339,344,347,345,348,338,346,350,332,336,340,340,353,358,351,352,344,343,343,356,342,339,371,342,354,347,343,345,347,341,341,367,352,347,343,343,346,361,344,345,353,352,356,349,343,343,344,347,343,360,347,361,360,345,345,359,356,345,355,339,367,358,350,347,349,346,346,372,344,366,350,352,347,361,345,349,364,345,360,359,344,349,352,345,348,364,345,349,368,349,347,363,348,344,356,339,366,361,347,346,349,349,345,365,340,352,348,353,349,367,348,350,354,340,350,351,358,349,346,342,343,365,342,350,345,348,367,357,347,346,362,345,353,350,341,357,355,349,342,364,346,357,345,343,353,362,354,347,354,343,350,359,345,345,355,353,358,372,339,356,351,356,354,358,357,359,351,340,351,351,354,340,345,362,354,366,343,349,378,340,353,353,359,351,354,346,354,358,345,344,347,348,379,369,348,360,349,345,344,358,360,356,358,402,358
9905054
408366,539132,488466,388015,722810,632963,707760,542435,743721,604306
1059134,2205669,1260418,1009822,1868346,1634760,1818543,1396707,1917587,1589462
1382844,1735142,1570738,1259834,2304184,2065027,2279704,1756889,2389206,1954585
386,355,391,324,353,365,365,393,385,364,355,396,413,380,358,369,345,376,343,333,379,359,346,387,351,354,358,350,326,348,353,347,346,310,345,369,393,363,362,317,322,359,352,385,368,356,337,346
97139,116246,109505,85939,151299,134495,148757,117065,155068,132573,147543,136614,140460,125857,117817,127509,111743,119231,113129,94817,127023,118670,108977,114336,129391,107397,125313,113614,70707,102567,113483,107615,118859,86372,103480,102917,159697,109567,110179,75513,100754,84874,136598,129642,125570,114566,111218,98875
520728,627404,578405,465606,836839,743937,824684,648332,858397,716367,701580,733905,771866,693645,658226,723327,587644,662224,630424,522459,704454,659021,618392,607529,703987,585752,687783,615766,369289,577824,621940,585239,649856,469881,569518,559162,886547,612198,604141,414713,558822,455486,755806,721144,695286,639920,593510,541353
