2048,337,2856
4096,336,2842
6144,338,2846
8192,346,2846
10240,357,2837
12288,369,2842
14336,371,2847
16384,376,2849
18432,379,2848
20480,384,2866
22528,391,2846
24576,398,2866
26624,407,2853
28672,411,2868
30720,417,2860
32768,423,2853
34816,430,2871
36864,438,2871
38912,444,2885
40960,451,2860
43008,457,2860
45056,465,2902
47104,472,2894
49152,476,2906
51200,482,2895
53248,493,2904
55296,505,2886
57344,516,2893
59392,532,2894
61440,531,2897
63488,531,2909
65536,529,2928
67584,537,2930
69632,546,2936
71680,559,2919
73728,563,2922
75776,570,2931
77824,570,2950
79872,585,2970
81920,596,2979
83968,602,2988
86016,612,2988
88064,622,2981
90112,623,2957
92160,617,2969
94208,643,2976
96256,651,2978
98304,662,2985
100352,667,2989
102400,657,2980
104448,649,2996
106496,698,3017
108544,699,3001
110592,711,3005
112640,690,3020
114688,687,3016
116736,731,3035
118784,743,3034
120832,752,3033
122880,759,3024
124928,730,3016
126976,721,3053
129024,782,3052
131072,792,3098
133120,804,3013
135168,825,2984
137216,760,3033
139264,821,3074
141312,774,3037
143360,839,3076
145408,851,3052
147456,852,3114
149504,854,3097
151552,864,3067
153600,875,3064
155648,816,3069
157696,818,3031
159744,827,3076
161792,832,3030
163840,845,3095
165888,844,3037
167936,850,3097
169984,857,3042
172032,865,3114
174080,876,3039
176128,950,3133
178176,905,3103
180224,966,3032
182272,929,3093
184320,905,3126
186368,986,3134
188416,919,3126
190464,927,3057
192512,932,3132
194560,967,3133
196608,1024,3074
198656,990,3122
200704,1039,3139
202752,1044,3123
204800,1058,3141
206848,1057,3138
208896,1066,3145
210944,1081,3155
212992,1087,3163
215040,1088,3175
217088,1012,3162
219136,1015,3106
221184,1023,3168
223232,1067,3177
225280,1042,3186
227328,1083,3177
229376,1047,3180
231424,1106,3170
233472,1157,3182
235520,1118,3190
237568,1079,3198
239616,1126,3179
241664,1086,3197
243712,1151,3193
245760,1098,3218
247808,1160,3188
249856,1215,3219
251904,1224,3217
253952,1235,3209
256000,1234,3202
258048,1144,3215
260096,1147,3163
262144,1154,3228
264192,1163,3167
266240,1167,3230
268288,1174,3194
270336,1183,3257
272384,1185,3186
274432,1192,3258
276480,1264,3232
278528,1318,3255
280576,1330,3239
282624,1335,3254
284672,1345,3239
286720,1348,3282
288768,1356,3249
290816,1361,3258
292864,1374,3242
294912,1376,3285
296960,1382,3265
299008,1391,3295
301056,1396,3271
303104,1289,3270
305152,1359,3268
307200,1423,3306
309248,1425,3290
311296,1323,3296
313344,1394,3275
315392,1454,3328
317440,1405,3288
319488,1341,3311
321536,1422,3295
323584,1358,3324
325632,1433,3300
327680,1367,3321
329728,1448,3328
331776,1512,3315
333824,1513,3312
335872,1526,3352
337920,1479,3318
339968,1543,3330
342016,1541,3320
344064,1417,3335
346112,1421,3284
348160,1429,3348
350208,1521,3377
352256,1583,3194
354304,1538,3338
356352,1462,3342
358400,1457,3291
360448,1476,3351
362496,1471,3330
364544,1481,3353
366592,1484,3307
368640,1497,3385
370688,1599,3377
372736,1654,3404
374784,1665,3362
376832,1666,3220
378880,1634,3419
380928,1686,3386
382976,1689,3375
385024,1699,3386
387072,1701,3388
389120,1563,3402
391168,1567,3351
393216,1568,3426
395264,1689,3392
397312,1743,3423
399360,1747,3398
401408,1760,3410
403456,1761,3415
405504,1770,3435
407552,1780,3408
409600,1630,3423
411648,1632,3384
413696,1648,3427
415744,1639,3382
417792,1651,3426
419840,1653,3378
421888,1664,3464
423936,1667,3385
425984,1672,3443
428032,1684,3387
430080,1859,3484
432128,1817,3482
434176,1877,3284
436224,1830,3451
438272,1716,3475
440320,1724,3398
442368,1724,3460
444416,1741,3409
446464,1736,3478
448512,1874,3502
450560,1935,3499
452608,1940,3478
454656,1943,3303
456704,1904,3475
458752,1782,3479
460800,1783,3430
462848,1974,3537
464896,1933,3517
466944,1992,3505
468992,1999,3510
471040,2004,3525
473088,2018,3539
475136,2022,3516
477184,2029,3505
479232,2031,3539
481280,2037,3514
483328,2045,3539
485376,2058,3524
487424,2065,3546
489472,2071,3549
491520,1879,3544
